 | He scrambled out of the broken car, adrenaline coursing through his veins. 
Stop the car | The bad guys are chasing you, so you get out of the car and dive right into the ditch, running through the tall grass until you're hidden.
Listen outside the door | You hear noises in the living room. The coast is clear, so you slowly crack open the door and peek inside.
Ask the witness | You show the elderly man a picture of a suspect. The man nods, and says "Yes, that's the man I saw escaping from the crime scene".
Open the window | You stand up and walk over to the window. You open it, letting in a rush of fresh air.
Dial 911 | You pull out your phone and dial 911. You explain the situation to the dispatcher, who assures you that help is on the way.
Wave down the bus | You’re on the side of the highway, but the lights on the bus don’t seem to be working. You have to make yourself seen, so you take off your bright orange jacket and wave it over your head.
Start the car | You sit in the driver’s seat, place the key in the ignition, and turn it. The engine starts with a powerful roar.
Climb down the ravine | You pick your way carefully down the steep ravine, struggling to keep your balance. At the bottom, you stop to catch your breath.
Remove the hood | You take the hood off the dryer, and reach inside to get the clothes. You smell something burning.
Open the envelope | The lawyer hands you a plain envelope with nothing written on it. You tear it open and pull out the paper folded inside.
Try to move the car | You try to rock the car back and forth, but it doesn't budge. You shift into reverse and give it another try. The wheels spin, sending a spray of icy snow into the air.
Follow the trail | You're looking for the lost hikers who didn't return from their trip. You see a small broken branch and some scattered footprints. You've found their trail.
Search for useful items  | He scoured the dilapidated barn, inspecting every corner, shelf, and box for anything that might aid his survival.
Read the documents  | She flipped through the aged file, scanning each page for any relevant information or hidden clues that might reveal the truth about her missing grandmother.
Knock it down  | The demolition expert gave a firm nod, signaling his team to explode the charges, and within moments, the aging concrete tower came crashing down in a plume of dust and debris.
Don't look back  | She continued her brisk walk, eyes glued to the cobblestone street ahead, resisting the urge to glance behind her and confront the eerie sense of being watched.
Describe the attacker  | Chris, a detective, jotted down the suspect's description: tall, wearing a red jacket, scar on the left cheek. He might be armed, so approach with caution.
Open the door  | With a deep breath, Michael knocked on the imposing oak door. It swung open soundlessly, revealing a dimly lit entrance hall lined with marble tiles.
Make the call  | She pulled out her phone, her hands trembling slightly, and dialed the number for the emergency services. In a quavering voice, she explained the dire situation to the operator.
Sit down  | Slowly, he lowered himself into the armchair, feeling the weight of the day's events finally catching up with him. The commanding view of the city from the skyscraper's window seemed a distant comfort.
Show them the evidence  | She paced the cramped courtroom, anxiety building in her gut as she prepared to present the critical documents to the judge. These papers could make or break the case.
Fix the fuse box  | He flicked the switch on the old fuse box, and after a brief moment, the room was bathed in warm light once more. The electrician let out a sigh of relief, happy that the ancient wiring hadn't sparked a larger problem.
Eat  | The weary traveler pulled out a nutrition bar from her backpack and devoured it quickly, knowing that she had to keep her energy up if she wanted to find her way out of these woods before nightfall.
Find out the truth  | He leaned forward, staring directly into the eyes of the witness, as if trying to will the truth out of them with the sheer intensity of his gaze.
Clean up  | She grabbed a broom and dustpan from the supply closet and got to work, sweeping up the shattered pieces of glass that lay scattered across the tile floor. It was vital to ensure no one could step on them and injure themselves.
Fix the faucet  | After a few minutes of tinkering with the faucet, the plumber finally got the hot water tap to stop leaking. Relief washed over him as he surveyed the job, confident that the problem was resolved.
Find your match  | On the online dating app, Rachel swiped through dozens of profiles, searching for that elusive spark, that connection that could lead to a lasting relationship.
Look out the window  | He took a moment to appreciate the spectacular view, the morning sunlight dancing across the water as boats sailed by in the distance. It was a serene scene, one that helped him feel centered after a stressful meeting.
Listen closely  | The undercover agent adjusted his wire, straining to hear any snippets of conversation that might give away the notorious crime syndicate's plans. His life depended on his ability to stay undetected.
Check the cabinets  | Sarah searched the kitchen, opening each cabinet and drawer, looking for anything that could serve as a snack during the long night ahead.
Stand up to the bully  | He knew it was risky, but he had to do it. Gathering his courage, he faced the intimidating bully, his voice steady as he refused to let himself be pushed around anymore.
Keep them calm  | The veterinarian gently restrained the anxious dog, soothing it with soft words and petting as she carefully examined the infected wound, trying to keep the worried pet calm during the procedure. 
Start the car! | She turned the key in the ignition and the engine roared to life, shaking the whole vehicle.
Open the envelope! | His hand trembled as he ripped open the letter, its contents revealing a secret that would change his life forever.
Get out of the room! | They fled the study, their hurried footsteps echoing down the long hallway as they tried to escape their pursuers.
Take the shot! | The hunter's finger squeezed the trigger, releasing the arrow towards the buck grazing at the edge of the clearing.
Push the detonator! | The bomb disposal expert closed his eyes and activated the remote trigger, hoping his calculations had been correct and the bomb would explode harmlessly.
Open the gift! | She peeled back the wrapping paper, revealing a small box with a delicate gold chain inside, a sparkling diamond pendant hanging from it.
Look out the window! | She gazed out at the cityscape before her, taking in the twinkling lights and towering skyscrapers that stretched into the night sky.
Jump into the water! | The daredevil leapt from the cliff's edge, plunging into the crystalline water below, the cool rush of adrenaline pulsing through every cell of their body.
Push that cart! | The porter heaved the luggage cart into motion, trundling it through the bustling airport, the pile of suitcases teetering dangerously on top.
Open the envelope, Emma! | Emma's hands trembled as she opened the letter from her grandmother, hoping to find the explanation that had eluded her for so long.
Deliver that pizza! | The delivery guy jumped on his bike, speeding towards the address, the hot cheese and toppings threatening to burn his fingers as he balanced the box on the handlebars.
Fight back, girl! | The protagonist grabbed the nearest chair and smashed it over the head of the masked intruder, her eyes wild with fury as she fought for her life.
Check out the new guy! | She scanned the crowded bar, her eyes coming to rest on a dark figure sitting alone at a corner table, his face obscured by shadows.
Open your eyes, John! | John jolted awake, his vision clearing, his mind still grappling with the bizarre dream he had just experienced.
Hide in the closet! | She quietly closed the door, slipping into the dark recesses of the walk-in closet, her heart pounding in her chest as she waited for the danger to pass.
Take those pictures! | The photographer dove for her camera, capturing the dramatic moments as the bride glided down the staircase, a look of radiant joy on her face.
Punch that bag, hard! | The boxer lunged forward, slamming his fist into the heavy bag with a loud thwack, feeling the satisfying impact of the blow reverberate through his arm.
Close the door, my son! | The father grasped the doorknob, his face set with determination as he gently pulled the door shut, cutting off the outside world and embracing the warmth of family within.
Explore the room | The detective moved around the small, windowless space, searching for any signs of an escape or hidden compartments.
Open the package | She carefully sliced through the thick tape with a knife, her heart pounding in anticipation.
Start the car | Michael turned the key in the ignition, and the engine roared to life, its growl echoing off the surrounding buildings.
Follow the path | Chris took a deep breath and pushed through the dense foliage, the trail leading him deeper into the heart of the rainforest.
Enter the house | With caution, she stepped across the threshold, her eyes darting around the dimly lit room, searching for any signs of movement.
Talk to the witness | He approached the old man, who was huddled in a corner, and introduced himself with a gentle smile, hoping to set him at ease.
Pay attention to the road | Jenny kept her eyes fixed on the winding road ahead, her hands gripping the steering wheel tightly as she navigated the hairpin turns.
Approach the dog | He slowly extended his hand, palm up, as he moved closer, using a soft and gentle tone to try and calm the nervous animal.
Listen for the clues | Sarah held her breath and strained her ears, trying to pick up any faint sounds or whispered secrets that might reveal the hidden location of the treasure.
Turn off the lights | He flipped the switch, and the room plunged into darkness, save for the moonlight streaming in through the nearby window.
Dial the number | Sarah picked up her phone, her fingers trembling slightly as she entered the familiar sequence of digits.
Look for the answers | He searched the cluttered desk, rifling through piles of documents and scattered notebooks, hoping to find some insight into the mystery.
Use the key | With a deep breath, she inserted the old key into the lock, the rusty mechanism reluctantly giving way as she turned it.
Open the envelope | With a mix of excitement and nervousness, she ran her finger along the seal, breaking it with a soft popping sound before carefully unfolding the delicate paper within.
Speak with your lawyer | You picked up the phone and dialed your attorney's number, preparing to discuss the legal implications of the new contract.
Check the gauges | The pilot glanced at the instrument panel, noting the positions of the various gauges and indicators as he prepared for the final approach.
Take the shot | He adjusted his aim, took a deep breath, and squeezed the trigger, the recoil jolting through his body as the bullet found its mark.
Sign the documents | You reviewed the terms one last time, making sure all the conditions and clauses were as expected before picking up the pen and signing your name with a confident flourish.
Give up your claim | With a heavy heart, you relinquished your rights to the disputed property, knowing it was the right thing to do despite the personal cost.
Look under the bed | She did so and found a hidden suitcase containing a gun and a stack of passports.
Stop talking | The classroom fell silent, and everyone turned to face James.
Stay still | Time froze, and a thick blanket of snow began to fall, covering the small creatures and creating a glistening world.
Keep walking | He continued on, taking one step after another, the trail leading deeper into the forest, and eventually to the river.
Open the letter | The smell of the old paper filled the air, and as the envelope was opened, a yellowed photo fell out, scattering across the floor.
Listen to me | Michael turned his head to face the window, hearing the song of the birds outside, but waited for further instructions.
Take the call | Hello, this is Robert, I'm in," he said simply, before listening for more than a minute.
Talk to her | Hi Mom," he said, smiling awkwardly, and asked how she was doing, before trying to explain why he had to do this.
Go home | I went back to the house, walked up the front steps, and took a long look at the place I grew up, wondering how many memories still haunted its rooms.
Make a call | He was frantically searching for his phone, which was somewhere in the wreckage, as he dialed the emergency number.
Knock it down | The sledgehammer swung, and the old wall crumbled, revealing a room filled with long-forgotten books.
Put your hands up | Slowly she did so, her palms facing the ceiling, as the officers took a step closer, reaching for their weapons.
Don't look back | Sarah walked through the darkened forest, twigs snapping beneath her feet, her breath the only sound for miles around.
Let me in | She swung open the door, and I took a seat on the couch, unsure of what to say, or where to start.
Get me a tissue | The tears started flowing, and as I sniffled, my sister went to the bathroom and retrieved a box of tissues.
Find out the truth | He sat down at the table, the eyes of everyone on him, waiting for him to speak, and as the silence grew, a confession finally began.
Open the present | Gently I did so, and gazed in awe at the beautiful watch inside, a note attached that simply read, "For you."
Hit the ball | It sailed through the air, and the batter swung, a crack echoing through the stadium as the ball flew over the fence, into the stands.
Start over | She threw the puzzle pieces up in the air, watching as they fluttered down, before beginning the tedious task of finding where each one belonged.
Turn off the light | He hesitated, and although he knew he was alone, he took a moment to glance around the dark room, before shutting off the light, and sitting back in his chair.
Look under the bed | The main character quickly glanced around the room, searching for a place to hide, before deciding to look under the bed, where she discovered a hidden compartment containing a mysterious box.
Stop talking | The sudden silence that followed echoed through the classroom, as everyone turned to stare at James, wondering what he had done to provoke the teacher.
Take the call | Robert answered the phone with a sense of trepidation, steeling himself to hear the news he had been dreading all day, as the phone rang, the display reading "private number."
Make it quick | The character quickly completed the task at hand, aware that time was of the essence and that every second counted.
Don't look back | The main character marched forward, determined not to let anything slow them down or hold them back as they pushed deeper into uncharted territory.
 | The main character, exhausted and in need of assistance, arrived at their friend's house hoping for help and a chance to talk about what was going on.
Check under the bed  | 
Don't tell them a thing  | 
Go find the others | command_rule>Sarah</command_rule>, the one giving the command, knows there are others like her in the facility, and she wants to find them and make sure they're all right. 
 | Sarah went through the corridors, searching for signs of life, the echoes of her footsteps the only sound in the still air. 
 | The team spread out through the area, carefully examining every corner, the search growing more frantic as the evidence suggested they were getting nowhere. 
Keep him distracted | command_rule>You</command_rule> two stay close and keep an eye on him.
 | <Character name> and <secondary character name> quickly divided their attention between the enemy in front of them and the one causing trouble behind them, teamwork taking over as they fought for their lives.
 | The main character screamed the order as he flung open the doors and bolted into the street, the two friends diving out of the way as the bullets followed them.
 | They complied immediately, the group of children standing motionless, staring at the adults who had caught them in the act, guilt and innocence vying for dominance in their eyes. 
Enter the room | The detective took a deep breath, and with a firm grip on his pistol, he swung the door open and stepped inside the dimly lit room, his eyes darting around to survey any potential threats.
Stay calm | Sarah forced herself to remain calm despite the chaotic situation unfolding before her eyes. She took a few deep breaths, steadied her nerves, and focused on finding a solution.
Locate the explosives | Mike frowned, scanning the walls of the underground tunnel for any sign of hidden traps or explosives that might be rigged to blow at any moment.
Pay the courier | With a sigh of relief, Mr. Johnson pulled a thick envelope from his briefcase and handed it to the waiting courier. The transaction complete, the courier turned and disappeared into the bustling city street.
Check for survivors | The rescue team leader nodded grimly and shouted orders for his team to split up and search every room of the burning building, hoping against hope to find someone alive.
Go to the back door  | It's locked but you've got the key, so let's make a quick escape.
Look inside the package  | I can't see anything suspicious but better safe than sorry. 
Open the door | I need to see your face when I tell you this. 
Stay right there | I don't know if he's still armed. 
Wake up | Did you hear that? 
Open the package | Don't worry, it's not what you think. 
Don't shoot the hostage | I've got a clear shot if you want me to take it. 
I need you to hide | I'm not going to hurt you. 
Get out of the car | The highway's a mess, we've got to take the backstreets.
Stop playing games | I can see you, so cut the act and show yourself. 
Start the car | Time to get out of here before they notice. 
Look in the fridge | I think there might be some food left. 
Take a stand.  | 
 | They grab their sign from the corner and stomp to the front of the crowd. They are furious. 
'Push forward' | 'The car's engine groaned as it strained forward, the protagonist grasping the steering wheel tightly as she navigated through the dense fog.' 
'Open it' | 'He reached for the letter with trembling hands, his eyes locked onto the unopened envelope as he slid his finger under the seal, breaking the wax in two.'
Take a closer look | He heard the voice, instructing him, "Take a look around. You need to understand the environment you're in." He blinked, focusing on the little he could make out in the pitch darkness.
Start the car | After he turned the key, the engine purred to life, and the two men made ready to set out on their mission.
Open the door | The door swung open, revealing an opulent study filled with books and artifacts that no one had ever seen before.
Speak to him | She cleared her throat, unsure of how to begin, and spoke to the man, hoping he would provide her with the answers she sought. 
Follow her | They followed the red-headed girl through the hedge, a thick green wall blocking out the noise of the city behind them.
Look for it | James searched for the item, moving boxes and furniture as he went, as per his boss's instructions. 
Check the report | She flipped through the file, scanning the report and picking up the information she needed to present in the meeting.
Wait here | He did as instructed and paused just around the corner, keeping out of sight as he waited for the right moment to reappear.
Knock on the door | A soft rap on the door echoed through the otherwise silent house.
Open the box | The box lay open, its contents spilling onto the table in a mess of wires and circuit boards, all of which was contributing to the biggest tech breakthrough in recent history.
Go find out what's happening  | Then, the character rushed forward, determined to discover what lay ahead.
Run towards the sound  | She sprinted toward the faint noise, her heart pounding in her chest. 
Jump in the water  | They held their breath and jumped, the cool water enveloping them. 
Pull the trigger  | Blood gushed everywhere, and she stood there in shock, unable to believe what she had just done. 
