Get out | She got out of bed, her heart pounding in her chest as she crept towards the door."
Fight your fears | The roller coaster crept up to the top of the first drop, and Sarah's heart jumped into her throat. But she closed her eyes and took a deep breath, telling herself that she could do this.
Tell the truth | He had been lying for so long, but today he stood before the court, and with a shaking voice, he spoke the truth. It was a relief to finally unburden himself.
Change your life | The motivational speaker paced the stage, their voice booming through the auditorium. The audience was rapt, hanging onto every word, ready to make a change.
Save the world | The superhero leapt into action, bounding across the city skyline, knowing that the fate of the world rested on his shoulders. He was ready, he told himself. He would save them all.
Find something to hide behind | She crouched behind a dilapidated car, pressing her back against the rusted fender as she tried to control her ragged breath.
Enter the room | The weight of the room pressed down as he stepped over the threshold, the atmosphere thick with a sense of despair.
Talk to the child | Her voice softened as she approached the distraught boy, squatting down to his level and asking him about his day at school.
Make a run for it | He bolted, sprinting across the open field, not looking back as he tried to put as much distance between himself and the pursuing zombies.
Do something impulsive | Impulsive as always, he threw the letter on the ground and stomped on it, watching the expensive parchment crumple into scraps.
Start writing | The tip of the pen scratched against the paper, the words flowing from him in a hurried scrawl as he poured out his thoughts, not caring about grammar or spelling.
Stand up | He stood, his eyes locked with hers, the silent exchange telegraphing his intent to the other man.
Turn around | She turned, slowly, like a rusty bolt, her eyes fixing on the place behind her where the creature had been only a moment before.
Open the door | The doorknob turned under his hand, the creak as the door opened almost splitting the silence of the old house.
Let go of the past | I let go of your hand, my fingers slipping from your grasp, and took a step back. "This is the last time," I whispered, and closed the door.
Get a hold of yourself | She clenched her jaw, trying to get a hold of herself, but the tears came anyway as she watched him walk away.
You can't hide forever | A flash of light and he was gone, the illusion shattered as the curtain dropped, and the actor took a bow, revealing himself to be a man under all the makeup.
Start a new chapter | She took a deep breath and stood, feeling the weight of the decision she had just made lift from her shoulders as she walked away from the burning building, towards a new future.
Think like them | His mind was racing, trying to put himself in the serial killer's head, wondering what his next move would be if he were him.
Just go | He closed his eyes and tried to erase all thoughts from his mind, trying to be an empty vessel, nothing but a collection of limbs moving in sync, and then he ran.
Find the black notebook | Search the desk, under the bed, everywhere.
Don't stop | Keep running until you reach the tree line.
Look for clues | Every word, every scrap of paper, might have something.
Ask for forgiveness | Beg for another chance.
Pay the taxi driver | Don't dawdle; he's in a rush.
Wake the girl | Be gentle; she's had a long night.
Press the detonator | Don't stop to think.
Pull the lever | The trapdoor opened, and the bright sunlight poured into the basement. 
Take a breath | Relax your shoulders. 
Call your parents | Ask for their advice. 
Don't lie to the police | Tell the truth, no matter how hard it is. 
Start typing | Don't stop until you've told the whole story.
Show everyone your paintings | Finally, share your masterpiece with the world.
Stay close.  |  
Keep searching.  |  
Get out!  |  
Keep writing.  |  
Open it.  |  
Stand up to him.  |  
Don't look back.  |  
Face your fears.  |  
Pay attention.  |  
Get help.  |  
Come with me.  |  
Show me.  |  
Talk to him.  |  
Help her.  |  
Stop him.  |  
Run.  |  
Say it.  |  
Knock it down.  |  
Say a prayer.  |  
Follow me.  |  
Explore the cave  | Alice entered the eerie cave, with her flashlight in hand, taking care to avoid the jagged rocks. 
Go to the light - | The young woman walked forward, drawn towards the faint light coming from the window, her footsteps echoing lightly on the cold stone floor.
Stay still - | The man halted his pacing, his body frozen in place as he held his breath, trying to remain as quiet as possible. 
Turn around - | She slowly spun around, scanning the vast expanse of trees behind her, searching for any sign of movement in the woods.
Look down -  | He bent forward, his eyes scanning the ground intently, studying the dirt and leaves for any trace of the elusive footprint.
Don't speak -  | She took a deep breath, holding it for a moment as she struggled to keep her composure, reminding herself to remain silent and observant. 
Open the door -  | The man in the dark cloak reached for the doorknob, his heart pounding in his chest as he twisted it, the old hinges creaking as the door slowly swung inward. 
Pull the trigger -  | With a cold, determined look on his face, he raised the gun and fired a single shot into the darkness, the sound of the gunshot echoing through the night.
Press the button -  | She held her breath, her fingers trembling slightly as they hovered over the large red button, her eyes darting around the room, taking in everyone's reactions.
Call the police -  | He whipped out his phone and quickly dialed the number, his voice shaking as he whispered the words into the receiver, his eyes scanning the dark alley behind him.
Dig faster -  | The woman's fingers worked furiously, clawing at the earth, sweat dripping down her forehead as she desperately searched for the old wooden box, her breath coming out in short gasps.
Stay still | he commanded, the gun never wavering from the center of her chest. The sentence: "Don't move," he warned again, "this is for your own good." 
Go on, love her | he said coldly, looking away. The sentence: "And with that, he left me alone with her. I took a deep breath and told myself to just go for it."
Make it happen | he demanded. "Do whatever it takes." The sentence: "He was the CEO, after all, and I had to do what he told me to do."
No, wait | stop!" she yelled, rushing after the girl. The sentence: "Jane had never been the athletic type, but she found herself easily keeping pace with the much younger girl as she followed her down the hall."
Write it down | He paused, eyes glancing at the ceiling. The sentence: "When he was done, he left without another word, and I sat there, frozen, holding the pencil and the pad as if they were extensions of my body."
Explain it again | She shook her head, as if trying to clear the confusion. The sentence: "I could see in her eyes that she finally understood as she nodded slowly, the pieces of the puzzle falling into place."
Next, tell him the truth | She took a deep breath. "And I meant every word of it." The sentence: "This was the last card to play, but she knew that if she wanted to fix things, she had to lay it all on the line."
Check every drawer | She started with the one nearest her, pulling them all the way out and inspecting them. The sentence: "It was the fifth drawer that she opened, but it was empty save for a small piece of paper."
That's good, that's good | She nodded vigorously, smiling as she spoke. The sentence: "But then she took a sip of her coffee and grimaced, burning her tongue as the hot liquid slid down her throat."
Check inside | He tried to open the door, but it was locked. The sentence: "He rattled the handle again, feeling the weight of the silence around him. He had a bad feeling about this."
Go on, be brave | I looked at the closed door before turning back to the group. The sentence: "I took a deep breath and steeled myself, then pushed the door open, revealing the dark room beyond."
Share your feelings | She looked at you as if she was seeing you for the first time. The sentence: "I told her how I felt, laying bare my heart in a way I never had before."
Say it | She paused, taking a breath. "I love you, too." The sentence: "The air was thick with tension as we stared at one another, unable to say anything in response."
Go get some rest | You patted my shoulder, still smiling. The sentence: "I laughed, feeling a bit lighter, and decided to take their advice. After all, I had a big day ahead of me, and I would need all the energy I could get."
Keep walking | The deep snow was drifting across the path, and James ploughed onwards, determined not to look back, his boots leaving large impressions in the pristine whiteness. 
Listen to him | She pressed her ear up against the cold metal of the cell door, hearing only the faint sound of a voice somewhere in the distance, but not the words being spoken.
Stay calm | Adam’s fingers trembled as he held the gun, his heart thumping loudly in his chest, and he forced himself to take a deep breath, and to steady his aim before calling out.
